WRN 2026-06-13T22:18:09.391 ui.15740   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-16T22:59:27.178 ui.7045    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-17T19:33:54.657 ui.8504    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-21T19:16:53.613 ui.4162    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-21T19:20:44.808 ui.4402    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-21T22:59:54.326 ui.2617    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-22T00:08:58.658 ui.6132    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-22T22:59:20.568 ui.7715    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-23T18:21:23.884 ui.3202    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-23T22:29:23.161 ui.4653    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-23T23:12:11.856 ui.6868    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-23T23:12:11.856 ui.6868    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-23T23:12:11.856 ui.6868    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-23T23:12:11.856 ui.6868    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-23T23:12:11.856 ui.6868    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-23T23:12:25.305 ui.6942    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-23T23:13:23.498 ui.7125    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-23T23:13:23.498 ui.7125    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-23T23:13:23.498 ui.7125    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-23T23:13:23.498 ui.7125    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-23T23:13:23.498 ui.7125    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-24T20:42:45.556 ui.7015    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-26T22:39:47.621 ui.3833    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-26T23:38:28.044 ui.7770    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-27T00:03:41.084 ui.8910    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
